DegreeDegree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,
10,NaN,6.5764462809917354,8.337694600861212,9.210478497880073,9.849880086007278,10.311822607959357,10.663727065755992,10.937252995345121,11.174544768374375,11.382048509192028,11.539362049807178,11.67410813666433,11.78762102351314,11.813629182702812,11.886511789181693,11.943436882743761,11.945642848388283,11.94229381112001,11.867319023569024,11.940457932627249,12.107709251101321,12.033784667713238,12.391996142719384,12.387381013635194,13.071634269258459,13.765051194539248,14.752818302387269,16.399585921325052,17.119609164420485,13.009495252373814,13.89367816091954,24.057347670250895,19.13778409090909,14.736742424242424,18.50392156862745,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
11,NaN,6.634937238493724,8.377906976744185,9.222777273185992,9.851831183862434,10.314757744241462,10.665903338556104,10.938431614220237,11.176621630123627,11.383029916114063,11.541594482397935,11.675251103926957,11.78882096069869,11.81521483324368,11.887680191544725,11.944856484391368,11.946505080181172,11.944397241597345,11.867197770415943,11.944021276980695,12.11167883211679,12.029055136124457,12.392641525942777,12.39258689239451,13.067831541218638,13.764625850340137,14.755305039787798,16.400736139866574,17.121630727762803,12.996450304259636,13.896610169491526,24.057347670250895,19.13778409090909,14.736742424242424,18.507843137254902,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
12,NaN,6.63135593220339,8.390146471371505,9.231796116504855,9.857624245431241,10.31861265554673,10.667115325378012,10.939956568423993,11.178395003461079,11.384868296868296,11.543633748488118,11.676158581761038,11.790860661106501,11.816988439694862,11.88831591333841,11.945675910137904,11.948100220264317,11.945787950903041,11.873120818575364,11.945492586847516,12.1169677734375,12.023369512075877,12.39256993006993,12.395274380482807,13.06076017130621,13.772423208191126,14.747863247863247,16.40096618357488,17.070427236315087,12.997971602434077,13.896610169491526,24.057795698924732,19.13778409090909,14.736742424242424,18.507843137254902,31.088721804511277,29.753086419753085,35.61947661947662,28.12145748987854,24.681318681318682,21.4,23.747967479674795,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
13,NaN,6.678762006403415,8.404198600466511,9.233804386364788,9.864921357615893,10.321287862740945,10.670498238280883,10.944970476896847,11.181466209197646,11.387543003110645,11.546157617755696,11.680398090600159,11.793760642710563,11.820400863190951,11.891396946187676,11.94826307922272,11.952945314411549,11.948648941728527,11.877073017370117,11.95326445610429,12.117372262773722,12.03098145635459,12.395724486241727,12.402205976657688,13.060283687943262,13.767891156462586,14.762793000990426,16.31594399277326,17.07343124165554,12.97751124437781,13.900564971751413,24.057795698924732,19.13778409090909,14.736742424242424,18.507843137254902,31.088721804511277,29.753086419753085,35.61947661947662,28.12348178137652,24.681318681318682,21.4,23.75609756097561,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
14,NaN,6.681818181818182,8.416277518345563,9.241811175337187,9.869192799070849,10.328447362846854,10.675114991082324,10.948719431115222,11.185412009194245,11.391317631469638,11.549584777349114,11.68400103660684,11.797449662476723,11.824780960457433,11.895709642684263,11.95231780167264,11.957358674463938,11.952037564984069,11.884332158245202,11.954699825699448,12.12312925170068,12.036786278492439,12.404567203131796,12.413551995931858,13.045789473684211,13.722199312714777,14.786252045826513,16.339842873176206,17.099799732977303,12.965024630541873,13.881666666666666,24.205361199454792,18.89673913043478,14.736742424242424,18.50980392156863,31.088721804511277,29.753086419753085,35.61947661947662,28.125506072874494,24.681318681318682,21.40625,23.75609756097561,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
15,NaN,6.703583061889251,8.423141326188881,9.248477466504264,9.87688796680498,10.331598473606105,10.681102520737698,10.953492743634111,11.18953162403931,11.394864820309925,11.55461915658712,11.688628305792676,11.800738235508037,11.827220935696067,11.902989275345144,11.956800620543572,11.961977389078498,11.958030955611934,11.889278296988577,11.959602482689341,12.125472154963681,12.054077501445922,12.408570437196392,12.408733959011684,13.038481404958677,13.738976109215017,14.809171597633137,16.30879071842927,17.018676277850588,12.971428571428572,13.90225988700565,24.209904588823264,18.911684782608695,14.736742424242424,18.511764705882353,30.646886446886448,29.753086419753085,35.61947661947662,28.129554655870447,24.681318681318682,21.40625,23.75609756097561,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
16,NaN,6.710869565217391,8.426243279569892,9.253032840972539,9.88052417345074,10.336109048477777,10.68571716357776,10.956758034026466,11.19192293150167,11.397969804709641,11.558953321129707,11.693109099552219,11.804923085870481,11.830577090884683,11.907537762859118,11.96025,11.96408247108947,11.963983988512643,11.89508188225539,11.968503373360296,12.124591346153846,12.062431720326456,12.411604125140826,12.414120927874256,13.056958762886598,13.716891891891892,14.813559322033898,16.36675700090334,16.934362934362934,12.975369458128078,13.9045197740113,24.03673835125448,18.91576086956522,14.736742424242424,18.511764705882353,30.646886446886448,29.753086419753085,35.61947661947662,28.133603238866396,24.681318681318682,21.40625,23.78048780487805,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
17,NaN,6.707290533188248,8.429269114179858,9.257224257224257,9.885651342588744,10.341631265930332,10.691491648862552,10.960860858445725,11.196942474389283,11.403351471679446,11.563000392464678,11.697420443747466,11.811510273524409,11.833835920363372,11.912704994915238,11.96711475117956,11.96996041412911,11.97020613708508,11.89883855981417,11.981600342319213,12.132019230769231,12.070670922397396,12.404040404040405,12.416337285902504,13.069187242798353,13.723918918918919,14.80704589528119,16.285429141716566,16.90593112244898,12.997001499250375,13.907344632768362,23.870967741935484,18.65234375,14.736742424242424,18.533333333333335,30.646886446886448,29.753086419753085,35.61947661947662,28.133603238866396,24.681318681318682,21.40625,23.78048780487805,14.916666666666666,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.836734693877553,
18,NaN,6.717724288840262,8.435685347738016,9.262849872773536,9.888192941568171,10.347504385265507,10.69484354400409,10.965585139498183,11.201338525572302,11.407662764174018,11.56731863675018,11.7023543438624,11.815180077965904,11.838931691502435,11.917755496782853,11.973371306514775,11.975903614457831,11.976261620185923,11.903325599381283,11.989772504935878,12.14513590844063,12.077312810646143,12.410839160839162,12.426250078423992,13.041071428571428,13.682828282828282,14.822253877809434,16.262125220458554,16.986607142857142,13.035960591133005,13.909604519774012,23.874944763588157,18.654947916666668,14.746212121212121,18.545098039215688,30.64761904761905,29.77777777777778,35.60611431103234,28.81015037593985,24.71062271062271,24.305,23.78048780487805,14.94047619047619,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,NaN,28.918367346938776,
19,NaN,6.723872387238724,8.443747882073874,9.266483376610152,9.894082618472558,10.351884181392379,10.700226244343892,10.971568674815208,11.207998233828492,11.41356611530476,11.57462295940066,11.708741412074259,11.823811809889582,11.846681692123365,11.92391079196299,11.981949009505197,11.985004245511888,11.985589259754324,11.912646960458954,12.004180764938264,12.152444233507357,12.092291607261668,12.430122116689281,12.43602840413604,13.041922290388548,13.657894736842104,14.800627943485086,16.306054557551562,16.848830049261085,13.006799417192813,13.92090395480226,23.391705069124423,20.88773148148148,14.753787878787879,18.176470588235293,30.779699248120302,29.790123456790123,35.446817785527465,28.81578947368421,24.88888888888889,24.305,23.78048780487805,14.94047619047619,34.51162790697674,26.761363636363637,15.28888888888889,22.5,NaN,NaN,28.918367346938776,
20,NaN,6.724972497249725,8.434671657026199,9.277115795905896,9.901209341117598,10.355379038277002,10.70564065257514,10.978886487061565,11.213544295810197,11.419280266674923,11.580015707320266,11.716374929418407,11.8296835921596,11.856019857597918,11.930306256222215,11.991217777777777,11.992540591300134,11.99600586971944,11.918968621399177,12.01297668086912,12.173806179775282,12.10879848628193,12.452861952861953,12.434968413229283,13.073168682795698,13.622765273311897,14.760977888508252,16.24662309368192,16.914786967418546,13.12045347189419,13.96264367816092,23.27169468423444,20.90625,14.593582887700535,18.1875,30.782706766917293,29.790123456790123,35.60788657509969,28.827067669172934,24.93040293040293,24.305,23.829268292682926,14.964285714285714,34.51162790697674,26.761363636363637,15.28888888888889,22.543478260869566,NaN,NaN,28.918367346938776,
21,NaN,6.724669603524229,8.433321964529332,9.284664830119375,9.907215633873392,10.361616485159086,10.711647382474311,10.985435976864064,11.221148687034466,11.425902418719534,11.585936476751801,11.723528180455924,11.836284601070016,11.86348526724675,11.938174318790361,12.002799976321553,12.003298232873396,12.001300289168785,11.930712909441233,12.02160461273424,12.18092472118959,12.123897127839308,12.475331830703732,12.446434046728399,13.085108181203516,13.589746835443037,14.729533518690145,16.15005291005291,17.0027950310559,13.221869328493648,14.057222222222222,23.435023041474654,20.739955357142858,14.768939393939394,18.204044117647058,30.306959706959706,29.790123456790123,35.60788657509969,28.834586466165412,24.88888888888889,24.315,23.829268292682926,18.555555555555557,34.51162790697674,26.761363636363637,15.28888888888889,NaN,NaN,22.125,28.918367346938776,
22,NaN,6.741189427312776,8.439931740614334,9.28434079983635,9.913647393523554,10.369018601667737,10.718299779911154,10.992550037782642,11.229425330932298,11.433748245396746,11.59446083251393,11.731116389548694,11.845366739288307,11.871510714405108,11.946662335872754,12.015321057601511,12.009602568762874,12.013510772885743,11.947590546347453,12.034901206504633,12.194642032332563,12.119454352043052,12.476237787713197,12.494060182114213,13.109154929577464,13.578282208588957,14.722985347985349,16.226718047527296,17.036956521739132,13.226975120034918,14.08978494623656,23.302589731940028,20.785714285714285,14.554367201426025,18.215073529411764,30.308424908424907,29.790123456790123,35.608329641116526,28.834586466165412,24.89316239316239,24.315,23.853658536585368,14.964285714285714,34.51162790697674,26.761363636363637,20.11111111111111,NaN,NaN,NaN,28.918367346938776,
