id_1,spv,sr1995,sr1996,sr1997,sr1998,sr1999,sr2000,su1995,su1996,su1997,su1998,su1999,su2000,fdi1995,fdi1996,fdi1997,fdi1998,fdi1999,land1995,land1996,land1997,land1998,land1999,rural_incpc1995,rural_incpc1996,rural_incpc1997,rural_incpc1998,rural_incpc1999,urban_incpc1995,urban_incpc1996,urban_incpc1997,urban_incpc1998,urban_incpc1999
1,12,15559,15564,15372,15205,14575,13517,5,37,64,104,194,265,22.1,29.9,35.4,37.3,40.8,3784.6,3770.9,3878.5,4049.1,4113.7,1303,1608,1809,1863,1900,3779,4494,4599,4771,5065
4,13,7002,6977,6946,6922,6623,6156,16,80,178,342,874,1761,170,209.8,246.6,281.2,310.7,976.2,956.9,968.7,1008.3,1019.6,2049,2492,2786,2946,3091,4853,5574,6144,6486,6860
16,14,9636,9586,9459,9238,8650,7727,3,37,69,115,184,254,17.2,21.7,29.1,35.4,38.4,3081.1,2006.3,2031,2034.6,2055.6,1537,1870,2107,2048,2129,3377,3780,4071,4251,4721
24,15,21087,20943,20769,20640,20320,19569,8,69,183,343,570,1000,231.5,289.9,339.4,375.9,417,4965.8,5133.6,5167.7,5249.9,5248.4,1715,2086,2292,2453,2550,4264,4890,5191,5380,5809
12,16,25244,25376,25377,25390,24744,23829,12,43,93,154,294,413,79.2,104.6,129.7,149.1,162.8,5848.2,5771.7,5420.5,6141.5,6639.1,1232,1579,1734,1864,1948,3299,3755,4094,4219,4532
13,17,12025,11980,11800,11568,10945,9957,13,63,126,238,402,646,44.8,57.2,68.6,85.8,89.5,2788,2868.5,2782.3,2602.6,2637.2,1511,1864,2102,2172,2217,4017,4350,4673,4826,5213
14,18,16566,16495,16346,16168,15242,13983,9,54,125,218,337,493,26.3,37.5,51.5,61.8,68,3445.1,3927.3,3329.8,3177.1,3203.6,1425,1792,2037,2065,2147,4699,5052,5210,5434,5815
6,19,10557,10548,10537,10305,9750,8797,151,789,1784,3558,7153,11629,687.9,869,1031.2,1189.1,1339.6,2922.3,2243,2312.5,2448.7,2371.7,2699,3183,3468,3527,3629,7439,8158,8562,8840,9126
7,20,10906,11050,11070,11009,10613,9910,11,52,112,197,343,537,49.7,59.4,72.7,84.9,91,2357.5,2856,2540.4,2729.9,2683.6,1446,1703,1875,1972,2048,4792,5033,5110,5412,5619
9,21,1224,1277,1311,1317,1330,1325,2,3,12,37,67,106,59.6,67.2,72.8,78.3,79.6,265.8,278.2,274.8,277.6,258.4,1872,2156,1820,1966,2119,4770,4926,4850,4853,5338
3,22,7276,7252,7042,6640,6205,5620,9,16,64,106,201,325,23.8,24.7,26.5,30.3,32.1,1702.2,1463.6,1507.3,1366.1,1409.1,1270,1479,1692,1801,1836,4375,5023,5302,5443,5828
27,23,20399,20032,19539,19070,17649,15608,23,86,151,301,552,922,66.8,69.1,74.3,84.9,89.9,4769.9,4101.3,4223.9,3828.2,3948.8,1158,1453,1681,1789,1843,4003,4406,4723,5127,5478
8,24,9336,9407,9411,9414,9155,8651,4,32,73,119,223,322,6.4,7.9,9.8,12.3,14.8,1873.5,1904.9,1810.5,1834,1866.5,1087,1277,1299,1334,1363,3931,4221,4442,4565,4934
31,25,11911,12072,12184,12328,12231,12015,14,64,147,302,556,930,12.3,15.3,17.5,19.1,20.7,3230.1,4491.3,2957.9,3244.6,2943.2,1011,1229,1376,1387,1438,4065,4978,5558,6043,6179
30,26,645,674,689,712,734,747,3,6,11,24,40,49,0.4,0.6,0.5,0.6,0.6,218.8,239.2,222.2,214.5,221,878,975,1085,1158,1258,4000,5030,5135,5439,5998
23,27,8132,8106,8041,7990,7755,7453,5,26,55,109,209,324,30.5,36.7,49.6,52.5,54.2,3723,3459.3,3073.4,3158.8,2983.3,963,1165,1285,1406,1456,3310,3810,4001,4220,4654
5,28,6429,6441,6443,6463,6400,6233,2,17,34,55,102,211,16.2,19.7,20.6,20.7,20.9,2812,5197.2,3331.5,2484.4,2555.4,880,1101,1210,1393,1413,3153,3354,3592,4010,4475
22,29,1004,1045,1047,1070,1079,1089,0,3,9,16,31,52,1.2,1.4,2.3,3.7,3.6,380.2,414.7,443.9,441.5,487,1030,1174,1321,1426,1486,3380,3830,3999,4240,4704
20,30,1015,1034,1058,1082,1086,1095,2,8,17,29,48,86,4.1,4.7,5.1,5.7,5.9,667.9,676.5,722.7,681.3,735.4,1037,1416,1545,1756,1791,3383,3612,3837,4112,4473
29,31,3333,3498,3560,3683,3751,3717,11,63,123,196,315,635,4.9,6,6,5.9,5.9,1428.1,1262.4,1332.9,1454.3,1466.8,1137,1290,1500,1600,1473,4163,4650,4845,5001,5320
